id,title,director,duration_minutes,genres,release_year,synopsis,themes,thumbnail_url,video_url,view_count
ef6cb9bb-5297-43b4-a458-0639dddda853,Prix de Beauté,,2,"Romance, Drama",2026,"Et si pour une fois, la compétition pour le prix n’était pas entre femmes ?","Romance, Drama",,https://www.youtube.com/watch?v=x0zt7KG0pKU,1915
19880338-6b6f-4aa3-b00c-7e9761cf804f,J'AURAIS VOULU ÊTRE UN ART TRISTE,,2,Experimental,2026,"Un groupe de touriste découvrez une exposition peu commune

A group of tourist discover an exhibition that is one of a kind",Experimental,,https://www.youtube.com/watch?v=TyBiONHzpa0,1909
b9399b8b-7256-4a91-bead-4baed25a732f,KOUN SREI,,2,Drama,2026,Court metrage Nikon Film Festival : KOUN SREI,Drama,,https://www.youtube.com/watch?v=aLbLVd6ZIgA,1816
a3f88faa-2811-4f22-a4ae-8b7acad56465,SYNESTHESIE,,2,Experimental,2026,"Dans un monde où nos quotidiens s’accrochent aux apparences, nous nous sommes mis dans la peau d’une malvoyante pour qui la beauté ne peut être superficielle.",Experimental,,https://www.youtube.com/watch?v=KCNfzXKMmX8,1798
21e8c6c2-2727-45d5-84bf-665d7c9516ea,Et si c'était ça?,,2,"Romance, Experimental, Drama",2026,Le thème de la beauté m'a donné envie de parler de celle du temps qui passe et de ceux qui se connaissent par coeur.,"Romance, Experimental, Drama",,https://www.youtube.com/watch?v=QvFLCcFd2TY,1690
44ff9b1f-9e64-4c1e-9173-7bedea60c0dd,Moonboy,,2,Drama,2026,"Moonboy c'est l'histoire d'Eden, un garçon avec la condition des enfants de la Lune, une maladie qui les empêche de montrer leur peau au Soleil.",Drama,,https://www.youtube.com/watch?v=9ldI21Hx_6s,1686
7d5121d8-891b-492c-8270-9e24068329a2,PARFAITE,,2,Experimental,2026,"Aujourd'hui, Ella participe à son premier concours de beauté...",Experimental,,https://www.youtube.com/watch?v=tOtQsgEoqrI,1662
7cd6562c-c4b7-44c8-9137-ad23a101c758,Perfect 2.0,,2,"Horror, Thriller, Drama",2026,"Anna, 18 ans, accepte de transformer son corps par chirurgie esthétique en direct à la télévision, dans l’espoir de plaire à sa mère et de ressembler à une influenceuse idolâtrée.","Horror, Thriller, Drama",,https://www.youtube.com/watch?v=Ub57FpqOkOY,1655
f7d6759e-434c-4ec4-a87d-d79274c4f967,THÉORÈME DE,,2,Drama,2026,"Dans une grande université parisienne, Maryam, une étudiante brillante découvre un théorème.",Drama,,https://www.youtube.com/watch?v=AdrP7xD69JQ,1633
56b6b36b-b48f-4948-b60b-d24a0b4375b5,Prunelle - Épisode N°1,,2,Romance,2026,"C’est l’histoire d’une rencontre entre deux êtres singuliers, qui contre toute attente, ont beaucoup à s’apporter.",Romance,,https://www.youtube.com/watch?v=gf5p62yChQc,1626
06edf39d-4a09-422d-a46a-3e0b1169a7dd,Alaska Mike,,2,"Horror, Drama",2026,"Thanatopracteur réservée, Maud s'ouvre moins facilement aux vivants qu'aux morts qu'elle apprête.","Horror, Drama",,https://www.youtube.com/watch?v=BT46vtCxnSA,1594
4edfaed3-7b39-49a5-9506-48f41a03a763,État des lieux,,2,Comedy,2026,"Dans cette visite métaphorique, chaque détail est scruté, noté, jugé.",Comedy,,https://www.youtube.com/watch?v=KK3rWdNeIx4,1592
24f4997f-27d7-4728-b2d3-1800856d8a4d,TRACES,,2,"Romance, Drama",2026,"Une femme déteste ses grains de beauté, sans savoir qu’ils sont les traces laissées par son âme sœur à travers leurs vies passées.","Romance, Drama",,https://www.youtube.com/watch?v=KmDGDLXamUg,1570
433be971-a078-4504-bd88-adbe0d86cada,APNÉE,,2,Drama,2026,"Mathilde se sent immense, ailes déployées, mais cette perception de grandeur est peu à peu réduite, à coup de peigne, par des normes esthétiques et des gestes hérités de génération en génération.",Drama,,https://www.youtube.com/watch?v=OUYPfmI9Sdk,1524
57c68131-8f9c-419b-933d-ab3d73efc1a2,Face Card,,2,Drama,2026,Noël à la caisse du Giga Fête.,Drama,,https://www.youtube.com/watch?v=TMr2_nu_OYo,1444
d1255500-21b1-4c69-bf26-09192058f3d6,BEAUTY CONTROL,,2,Thriller,2026,"In a society obsessed with physical perfection, Kevin enters Beauty City, a transit zone where appearance is strictly controlled.",Thriller,,https://www.youtube.com/watch?v=UfCOZkWU_KM,1383
0ba200bb-48e4-4fb9-9b35-09103e86e510,GRANN,,2,Experimental,2026,"Après le décès de sa grand-mère, un jeune photographe trouve refuge dans une lettre qu’elle lui a laissée.",Experimental,,https://www.youtube.com/watch?v=FOzbNmNB3cg,1363
b42d7a4d-f519-4a52-a0f3-f1015b5df8a4,SEULE,,2,Drama,2026,"Ici, la liberté se conserve dans un endroit sec, à l'abri de la chaleur et de la lumière.",Drama,,https://www.youtube.com/watch?v=8je6hbfLNkY,1348
d18438d7-3a5a-42ac-9c69-cfd939f7d24d,Mon arbre,,2,Drama,2026,"Au pied d'un arbre, une jeune femme réapprend à regarder le monde.",Drama,,https://www.youtube.com/watch?v=SsRolYljEuY,1302
